email,Age,Gender,Education Level,Years of Experience,Job Role,Industry,Current Job Title,Income Level,Location,AI Upskilling,AI Upskilling Type,Success in Hiring Process,Percentage Hike in Salary
,50,Female,High School,20,Analyst,IT,Teacher,Low,City_A,1,Online Courses,1,29.36648615
,39,Female,Bachelor's,4,Manager,Finance,Nurse,Medium,City_B,1,Certifications,0,29.87823976
,47,Female,Master's,22,Analyst,IT,Nurse,Low,City_B,1,Certifications,0,2.445526238
,55,Male,Master's,26,Engineer,Healthcare,Teacher,High,City_C,1,Online Courses,1,9.784856612
,31,Female,Bachelor's,17,Consultant,IT,Software Developer,Low,City_A,1,Online Courses,1,31.75867466
,57,Male,High School,11,Engineer,IT,Nurse,Low,City_B,1,Online Courses,1,15.69259824
,35,Female,Bachelor's,4,Analyst,Finance,Software Developer,High,City_B,1,Workshops,1,18.92114451
,52,Female,High School,26,Consultant,Education,Software Developer,Medium,City_B,1,Certifications,1,6.214272556
,36,Male,Bachelor's,13,Analyst,IT,Financial Analyst,Medium,City_A,1,Online Courses,1,1.527658304
,29,Male,Master's,20,Analyst,Finance,Software Developer,High,City_A,1,Certifications,1,18.62811407
,35,Female,Ph.D.,26,Manager,Healthcare,Financial Analyst,High,City_C,1,Certifications,1,7.712179331
,44,Female,Ph.D.,17,Consultant,Finance,Nurse,Medium,City_A,1,Certifications,0,2.678505251
,42,Female,High School,9,Engineer,Finance,Teacher,Low,City_B,1,Online Courses,1,26.26302402
,37,Male,High School,4,Analyst,Education,Financial Analyst,High,City_C,1,Workshops,1,15.94177306
,39,Male,High School,23,Engineer,IT,Teacher,Low,City_A,1,Online Courses,0,1.839710605
,45,Male,Master's,28,Manager,Healthcare,Nurse,High,City_A,1,Certifications,0,4.937264405
,47,Male,Bachelor's,14,Manager,Finance,Software Developer,Medium,City_A,1,Online Courses,0,1.207570483
,46,Male,Master's,19,Consultant,IT,Nurse,Low,City_A,1,Online Courses,0,4.121266594
,50,Male,Ph.D.,26,Manager,IT,Teacher,Low,City_B,1,Certifications,1,10.31891373
,36,Female,High School,28,Manager,Finance,Nurse,High,City_A,1,Certifications,1,27.06081324
,22,Female,Bachelor's,3,Engineer,IT,Software Developer,Low,City_B,1,Online Courses,0,8.995011641
,46,Male,Ph.D.,14,Manager,Finance,Nurse,High,City_B,1,Online Courses,0,22.42604178
,28,Female,Ph.D.,8,Manager,Finance,Software Developer,Medium,City_B,1,Online Courses,1,1.944913376
,30,Female,Ph.D.,24,Analyst,Finance,Financial Analyst,Low,City_C,1,Online Courses,1,9.916591927
,45,Male,Master's,27,Manager,Healthcare,Teacher,High,City_B,1,Workshops,1,3.677765981
,22,Female,High School,28,Analyst,Finance,Software Developer,Low,City_A,1,Online Courses,1,20.683909
,29,Male,Ph.D.,1,Manager,Education,Software Developer,High,City_C,1,Workshops,0,1.04560403
,45,Male,High School,10,Manager,IT,Nurse,High,City_A,1,Certifications,1,4.676706062
,32,Female,Master's,18,Consultant,Healthcare,Financial Analyst,High,City_B,1,Workshops,0,6.668289871
,38,Male,Ph.D.,16,Consultant,IT,Software Developer,Medium,City_A,1,Certifications,0,21.81999918
,29,Male,Master's,8,Analyst,Healthcare,Financial Analyst,Low,City_C,1,Workshops,0,20.78836386
,56,Male,Master's,1,Manager,Education,Financial Analyst,Medium,City_C,1,Certifications,1,18.54612086
,56,Male,High School,12,Engineer,Healthcare,Nurse,High,City_A,1,Online Courses,0,28.74722583
,54,Male,Ph.D.,8,Consultant,Healthcare,Software Developer,High,City_A,1,Workshops,1,21.20385108
,26,Male,Master's,24,Engineer,Healthcare,Nurse,Medium,City_A,1,Workshops,0,9.464389633
,49,Male,Ph.D.,16,Consultant,IT,Teacher,Medium,City_C,1,Certifications,1,1.837863987
,28,Male,High School,18,Consultant,Finance,Teacher,Low,City_B,1,Certifications,0,3.754935641
,30,Female,Master's,4,Manager,IT,Software Developer,High,City_A,1,Workshops,0,5.169933452
,29,Female,High School,6,Consultant,Finance,Financial Analyst,Medium,City_B,1,Certifications,1,10.15395606
,33,Female,Ph.D.,12,Engineer,IT,Software Developer,High,City_C,1,Online Courses,1,5.879760804
,55,Male,Ph.D.,27,Consultant,Education,Software Developer,High,City_A,1,Workshops,0,24.08244708
,54,Male,High School,9,Analyst,Education,Teacher,Low,City_A,1,Online Courses,0,21.3720197
,44,Female,Bachelor's,15,Manager,Healthcare,Teacher,Low,City_C,1,Workshops,1,11.37561315
,45,Female,Master's,16,Manager,Education,Financial Analyst,Low,City_A,1,Online Courses,0,6.200393556
,58,Female,Ph.D.,24,Analyst,Healthcare,Financial Analyst,Medium,City_B,1,Workshops,1,2.023855495
,56,Male,Ph.D.,12,Analyst,Finance,Software Developer,High,City_C,1,Certifications,1,27.25178483
,43,Female,Master's,24,Analyst,Education,Nurse,Medium,City_C,1,Workshops,0,4.206041987
,48,Female,High School,23,Consultant,Finance,Software Developer,Medium,City_A,1,Online Courses,1,23.21030831
,56,Male,High School,14,Manager,IT,Financial Analyst,Low,City_C,1,Workshops,0,18.98175914
,22,Female,High School,13,Analyst,Finance,Nurse,High,City_A,1,Online Courses,1,5.324782088
,56,Male,Bachelor's,25,Consultant,IT,Teacher,High,City_A,1,Online Courses,1,1.125827127
,58,Male,Bachelor's,2,Analyst,Finance,Financial Analyst,Low,City_C,1,Online Courses,0,4.949530643
,35,Male,Ph.D.,3,Engineer,Finance,Financial Analyst,High,City_A,1,Certifications,1,8.38583362
,24,Female,High School,26,Engineer,Education,Nurse,Low,City_B,1,Workshops,0,8.020548309
,22,Female,Master's,24,Manager,Finance,Financial Analyst,Medium,City_B,1,Online Courses,1,5.620510662
,26,Male,Ph.D.,22,Consultant,Education,Financial Analyst,Medium,City_A,1,Certifications,1,3.247921116
,47,Female,Master's,10,Engineer,Education,Financial Analyst,Low,City_B,1,Online Courses,1,5.185797966
,35,Female,Ph.D.,9,Engineer,Healthcare,Financial Analyst,Medium,City_A,1,Workshops,1,6.073319975
,48,Female,Bachelor's,26,Consultant,Healthcare,Financial Analyst,Medium,City_B,1,Certifications,0,9.998842944
,30,Female,Ph.D.,20,Analyst,IT,Financial Analyst,Low,City_C,1,Online Courses,1,13.99319373
,36,Male,Bachelor's,8,Consultant,Finance,Financial Analyst,Medium,City_A,1,Online Courses,1,7.248384371
,36,Female,Ph.D.,10,Analyst,IT,Financial Analyst,High,City_A,1,Online Courses,1,22.36648146
,47,Male,High School,19,Engineer,Finance,Teacher,Medium,City_A,1,Workshops,0,19.01246829
,34,Male,Master's,3,Engineer,Healthcare,Financial Analyst,Low,City_A,1,Certifications,0,8.316576853
,53,Female,High School,24,Engineer,Healthcare,Teacher,High,City_A,1,Certifications,0,29.15312949
,53,Male,Ph.D.,5,Manager,Finance,Teacher,High,City_A,1,Certifications,0,9.95221117
,25,Female,Ph.D.,3,Manager,Finance,Software Developer,Medium,City_C,1,Online Courses,1,5.114085168
,51,Female,Ph.D.,26,Manager,Healthcare,Software Developer,High,City_C,1,Certifications,1,13.25716583
,58,Male,Bachelor's,27,Consultant,Healthcare,Teacher,Low,City_B,1,Online Courses,1,24.68646816
,44,Male,Master's,16,Engineer,IT,Teacher,High,City_A,1,Workshops,0,1.419773058
,36,Male,Master's,17,Engineer,Healthcare,Financial Analyst,Medium,City_B,1,Certifications,0,18.50136347
,50,Male,Ph.D.,15,Consultant,Finance,Software Developer,Medium,City_B,1,Online Courses,1,28.49571819
,57,Female,Ph.D.,3,Manager,IT,Nurse,High,City_C,1,Certifications,1,13.33955764
,34,Female,Bachelor's,12,Consultant,Finance,Software Developer,Low,City_B,1,Certifications,1,5.448123338
,53,Female,High School,9,Manager,Education,Teacher,Low,City_C,1,Workshops,0,1.257813382
,28,Male,High School,21,Engineer,IT,Teacher,Medium,City_B,1,Certifications,1,6.551648661
,43,Male,Master's,12,Analyst,Finance,Financial Analyst,Medium,City_A,1,Workshops,1,22.43518772
,49,Male,Bachelor's,26,Manager,Healthcare,Financial Analyst,Low,City_B,1,Certifications,0,9.29651059
,23,Female,Ph.D.,15,Engineer,Education,Software Developer,High,City_C,1,Certifications,0,5.4960608
,27,Male,Master's,2,Engineer,Finance,Financial Analyst,High,City_C,1,Certifications,1,10.8029554
,49,Female,Bachelor's,23,Analyst,IT,Nurse,High,City_C,1,Certifications,0,2.969816431
,49,Male,High School,18,Engineer,Finance,Nurse,High,City_B,1,Certifications,1,7.848762081
,41,Female,Bachelor's,20,Engineer,Education,Financial Analyst,Low,City_B,1,Certifications,1,7.488597794
,51,Female,High School,12,Manager,IT,Nurse,Medium,City_C,1,Workshops,1,15.17964355
,32,Male,Bachelor's,23,Manager,Education,Nurse,Medium,City_A,1,Workshops,1,27.51152733
,49,Male,Master's,4,Analyst,Finance,Software Developer,High,City_A,1,Online Courses,0,35.2166206
,46,Female,High School,23,Analyst,Healthcare,Nurse,Low,City_B,1,Certifications,0,24.58503946
,54,Female,Master's,16,Engineer,Healthcare,Teacher,Low,City_B,1,Workshops,0,1.856475101
,22,Male,Master's,23,Manager,Finance,Teacher,High,City_C,1,Certifications,1,17.30326711
,48,Male,High School,16,Analyst,Finance,Software Developer,High,City_B,1,Certifications,1,9.479319428
,34,Female,High School,1,Analyst,Finance,Financial Analyst,High,City_B,1,Workshops,1,13.7283371
,24,Male,Ph.D.,22,Consultant,IT,Software Developer,Medium,City_C,1,Certifications,0,12.40383083
,27,Female,Ph.D.,25,Analyst,Education,Financial Analyst,High,City_C,1,Workshops,0,1.51155155
,29,Female,Ph.D.,2,Engineer,Education,Financial Analyst,Medium,City_B,1,Workshops,1,28.78863254
,48,Male,Master's,3,Manager,Education,Financial Analyst,Low,City_A,1,Online Courses,0,6.229146126
,30,Male,Master's,26,Analyst,Finance,Financial Analyst,Low,City_B,1,Online Courses,0,16.98037425
,58,Male,Ph.D.,21,Consultant,Education,Financial Analyst,Medium,City_A,1,Online Courses,0,31.42703131
,54,Male,Master's,25,Manager,Finance,Software Developer,Medium,City_A,1,Online Courses,0,2.166853604
,45,Male,Master's,20,Analyst,IT,Financial Analyst,Medium,City_A,1,Certifications,1,9.063990565
,36,Female,High School,17,Consultant,Healthcare,Nurse,Medium,City_C,1,Certifications,0,29.44442742
,53,Female,High School,20,Analyst,Finance,Nurse,High,City_C,1,Online Courses,1,29.56447337
,53,Male,Master's,22,Manager,Finance,Financial Analyst,Low,City_C,1,Workshops,0,9.115022311
,45,Male,Ph.D.,21,Manager,Healthcare,Nurse,High,City_B,1,Workshops,1,4.863654261
,33,Male,Bachelor's,29,Manager,Healthcare,Teacher,Medium,City_C,1,Workshops,1,8.328045953
,23,Female,Ph.D.,1,Engineer,IT,Software Developer,High,City_C,1,Workshops,0,27.7920279
,24,Male,Bachelor's,20,Analyst,Education,Software Developer,High,City_B,1,Certifications,1,8.658377447
,58,Male,Ph.D.,6,Engineer,Finance,Financial Analyst,Low,City_B,1,Workshops,1,22.15759288
,38,Female,High School,29,Manager,Education,Financial Analyst,High,City_A,1,Workshops,0,25.32352799
,23,Female,Master's,15,Consultant,Finance,Teacher,Low,City_B,1,Online Courses,1,6.846968471
,23,Male,Master's,26,Analyst,IT,Financial Analyst,Medium,City_B,1,Workshops,0,23.23643196
,49,Male,High School,26,Engineer,Healthcare,Nurse,High,City_C,1,Certifications,1,26.5455391
,44,Male,Bachelor's,14,Analyst,IT,Teacher,Medium,City_A,1,Workshops,0,23.70813246
,58,Female,Bachelor's,20,Consultant,Healthcare,Nurse,Low,City_A,1,Workshops,0,20.68004611
,53,Male,Bachelor's,15,Engineer,Education,Software Developer,Medium,City_B,1,Certifications,0,2.906978855
,54,Male,High School,14,Manager,Education,Nurse,Medium,City_C,1,Online Courses,0,5.827348214
,22,Male,Bachelor's,25,Engineer,IT,Software Developer,Low,City_C,1,Certifications,0,19.46875736
,40,Female,High School,21,Analyst,Healthcare,Nurse,Medium,City_C,1,Online Courses,1,5.51347386
,23,Female,Ph.D.,24,Analyst,IT,Software Developer,Medium,City_C,1,Workshops,1,3.229181906
,47,Male,Ph.D.,25,Analyst,Healthcare,Financial Analyst,Medium,City_B,1,Online Courses,0,7.166450806
,53,Male,High School,26,Analyst,Healthcare,Nurse,High,City_C,1,Online Courses,1,28.74679126
,27,Female,Master's,5,Manager,Education,Software Developer,Medium,City_A,1,Online Courses,1,4.22171043
,53,Female,Ph.D.,6,Engineer,Education,Nurse,Low,City_A,1,Workshops,1,8.930530796
,25,Female,Bachelor's,17,Manager,Healthcare,Teacher,High,City_B,1,Online Courses,0,14.88478936
,32,Female,High School,11,Manager,Healthcare,Financial Analyst,High,City_C,1,Online Courses,0,28.07165971
,38,Female,Bachelor's,16,Manager,Healthcare,Software Developer,Low,City_C,1,Workshops,1,11.98998829
,59,Female,Bachelor's,12,Analyst,Education,Teacher,Medium,City_C,1,Certifications,0,1.005504716
,45,Female,Master's,15,Analyst,Education,Nurse,High,City_C,1,Certifications,0,25.82171443
,26,Female,Bachelor's,23,Analyst,Finance,Teacher,High,City_B,1,Certifications,1,8.401819461
,55,Female,Master's,4,Engineer,Healthcare,Nurse,High,City_C,1,Workshops,0,29.08276159
,27,Male,Ph.D.,27,Consultant,Finance,Financial Analyst,Medium,City_B,1,Workshops,0,4.366946215
,43,Male,High School,18,Analyst,Healthcare,Teacher,High,City_C,1,Certifications,0,15.89236599
,32,Male,Bachelor's,21,Engineer,Education,Financial Analyst,Low,City_C,1,Online Courses,0,6.868997715
,37,Female,High School,28,Analyst,Finance,Software Developer,Medium,City_A,1,Certifications,0,8.743153013
,54,Male,Bachelor's,3,Analyst,Finance,Nurse,Low,City_B,1,Workshops,1,15.62620941
,30,Female,High School,22,Manager,IT,Nurse,Low,City_A,1,Online Courses,0,33.3551205
,27,Female,Bachelor's,8,Manager,Healthcare,Financial Analyst,High,City_B,1,Online Courses,0,29.34242357
,37,Male,Bachelor's,23,Manager,Education,Financial Analyst,High,City_C,1,Workshops,1,4.506357236
,50,Female,Bachelor's,3,Engineer,IT,Software Developer,High,City_C,1,Online Courses,1,1.13596701
,24,Male,Bachelor's,8,Consultant,IT,Teacher,Low,City_B,1,Certifications,0,20.96663997
,41,Male,Bachelor's,18,Consultant,Healthcare,Nurse,Medium,City_A,1,Workshops,1,11.85823323
,57,Male,Bachelor's,10,Engineer,IT,Nurse,High,City_B,1,Workshops,0,17.54995418
,40,Female,Bachelor's,25,Analyst,Healthcare,Software Developer,High,City_B,1,Workshops,1,1.539142309
,47,Male,Bachelor's,20,Engineer,IT,Software Developer,Low,City_C,1,Workshops,0,3.047122994
,24,Female,Bachelor's,17,Analyst,Healthcare,Financial Analyst,Medium,City_A,1,Online Courses,1,3.334419957
,40,Male,High School,8,Engineer,Education,Financial Analyst,Low,City_B,1,Workshops,0,24.06970221
,41,Male,Master's,23,Engineer,Healthcare,Teacher,High,City_A,1,Workshops,1,12.73510047
,53,Male,Bachelor's,11,Engineer,Healthcare,Software Developer,Low,City_A,1,Online Courses,0,4.479020864
,28,Female,Master's,29,Consultant,Finance,Teacher,High,City_B,1,Workshops,0,23.5708406
,54,Female,Bachelor's,5,Manager,Education,Software Developer,Medium,City_A,1,Online Courses,0,1.584912343
,39,Female,Bachelor's,26,Engineer,Education,Nurse,Low,City_C,1,Online Courses,1,18.98672119
,22,Male,High School,13,Consultant,Education,Software Developer,High,City_C,1,Workshops,1,27.87779525
,32,Male,Ph.D.,21,Manager,IT,Software Developer,High,City_C,1,Certifications,0,5.003226919
,49,Female,Ph.D.,23,Manager,Finance,Nurse,High,City_C,1,Workshops,0,7.535630098
,46,Female,High School,5,Engineer,Education,Software Developer,High,City_A,1,Certifications,0,7.140584096
,44,Female,Master's,24,Analyst,IT,Teacher,Low,City_C,1,Online Courses,0,28.6562403
,52,Female,Ph.D.,27,Analyst,IT,Financial Analyst,High,City_B,1,Certifications,1,24.30329469
,51,Female,High School,13,Analyst,IT,Financial Analyst,Low,City_C,1,Workshops,1,7.798078139
,56,Female,High School,6,Engineer,Finance,Teacher,High,City_B,1,Workshops,1,7.491414641
,28,Male,Ph.D.,29,Analyst,IT,Nurse,Low,City_B,1,Certifications,0,4.402276902
,37,Female,Master's,5,Consultant,Finance,Software Developer,Low,City_C,1,Workshops,0,12.31705554
,47,Male,High School,9,Consultant,Healthcare,Teacher,High,City_C,1,Certifications,1,1.108882195
,23,Male,Bachelor's,27,Consultant,IT,Financial Analyst,High,City_A,1,Online Courses,1,3.593412545
,22,Female,Master's,16,Consultant,Education,Financial Analyst,High,City_B,1,Certifications,1,1.083000462
,33,Female,Master's,2,Manager,IT,Teacher,High,City_C,1,Certifications,1,3.07065359
,26,Male,Ph.D.,1,Consultant,Healthcare,Financial Analyst,Medium,City_A,1,Certifications,0,24.15106712
,58,Female,Ph.D.,8,Analyst,Healthcare,Teacher,High,City_C,1,Certifications,0,2.092741888
,53,Female,Bachelor's,28,Engineer,IT,Financial Analyst,High,City_C,1,Online Courses,0,1.93849982
,30,Male,High School,19,Analyst,Healthcare,Teacher,High,City_C,1,Online Courses,1,9.067936921
,56,Male,Ph.D.,11,Consultant,Finance,Software Developer,Low,City_B,1,Online Courses,0,6.269230261
,40,Male,Ph.D.,28,Manager,Finance,Software Developer,High,City_C,1,Certifications,1,9.410101181
,37,Female,Master's,12,Consultant,IT,Software Developer,Low,City_A,1,Online Courses,1,4.112435474
,24,Male,Ph.D.,12,Engineer,Finance,Software Developer,Low,City_C,1,Workshops,1,16.34177575
,41,Female,Ph.D.,7,Analyst,Finance,Financial Analyst,Low,City_C,1,Online Courses,1,27.07526204
,45,Male,Ph.D.,26,Engineer,Education,Nurse,Low,City_A,1,Certifications,1,26.05260843
,54,Male,Ph.D.,13,Engineer,IT,Teacher,Medium,City_A,1,Workshops,0,23.22804066
,45,Male,Master's,27,Engineer,Healthcare,Nurse,High,City_B,1,Certifications,0,16.49749734
,32,Female,Bachelor's,8,Analyst,IT,Financial Analyst,Low,City_B,1,Workshops,0,20.32633123
,29,Female,Bachelor's,29,Consultant,Finance,Financial Analyst,High,City_B,1,Certifications,1,18.89658515
,57,Male,High School,29,Engineer,Education,Nurse,Low,City_B,1,Certifications,0,16.77763772
,59,Male,Ph.D.,22,Analyst,IT,Nurse,Medium,City_A,1,Workshops,1,26.96272579
,41,Male,Master's,28,Manager,IT,Financial Analyst,Low,City_C,1,Online Courses,0,19.67014149
,56,Female,High School,26,Analyst,Finance,Financial Analyst,High,City_C,1,Workshops,1,4.605895016
,46,Male,High School,9,Manager,Finance,Teacher,High,City_C,1,Workshops,1,7.354368856
,56,Female,Bachelor's,7,Analyst,IT,Software Developer,Medium,City_B,1,Workshops,0,12.82049577
,46,Male,Master's,26,Consultant,Finance,Software Developer,High,City_A,1,Workshops,1,9.328194164
,50,Male,Master's,21,Engineer,Finance,Teacher,High,City_A,1,Workshops,0,1.22896811
,39,Male,Master's,24,Consultant,Finance,Nurse,Low,City_A,1,Certifications,0,20.19539347
,39,Male,Bachelor's,15,Analyst,Finance,Financial Analyst,High,City_C,1,Certifications,0,3.972949204
,23,Male,Bachelor's,2,Engineer,Finance,Nurse,Low,City_B,1,Online Courses,1,2.622102866
,56,Male,Bachelor's,23,Manager,Education,Software Developer,Medium,City_A,1,Online Courses,1,5.593560603
,37,Female,Bachelor's,20,Analyst,Finance,Software Developer,High,City_B,1,Workshops,1,11.69561247
,57,Male,Bachelor's,25,Engineer,Healthcare,Nurse,Low,City_A,1,Online Courses,1,2.233099258
,54,Female,Ph.D.,12,Manager,IT,Software Developer,High,City_B,1,Online Courses,0,21.41537593
,25,Male,Ph.D.,1,Manager,Education,Financial Analyst,Low,City_A,1,Workshops,1,4.673481984
,54,Male,Master's,23,Consultant,Education,Teacher,Medium,City_B,1,Certifications,0,4.679302712
,35,Female,High School,22,Analyst,Finance,Nurse,Low,City_A,1,Certifications,0,3.858023257
,42,Male,Master's,8,Manager,IT,Financial Analyst,High,City_A,1,Online Courses,1,2.336906364
,41,Female,High School,5,Engineer,Healthcare,Financial Analyst,Low,City_B,1,Certifications,1,11.82655289
,29,Female,Bachelor's,15,Manager,Finance,Software Developer,High,City_B,1,Certifications,0,9.732115562
,28,Male,High School,1,Manager,IT,Financial Analyst,Medium,City_C,1,Online Courses,1,9.491493067
,24,Female,Master's,1,Consultant,Finance,Nurse,Low,City_B,1,Workshops,0,20.26587165
,38,Female,Master's,25,Consultant,Finance,Financial Analyst,High,City_A,1,Online Courses,1,9.955465779
,54,Male,High School,10,Engineer,Finance,Teacher,High,City_A,1,Online Courses,1,22.80078463
,33,Female,Ph.D.,22,Consultant,Finance,Financial Analyst,High,City_B,1,Online Courses,0,28.65890071
,43,Male,Bachelor's,10,Manager,Finance,Financial Analyst,Low,City_C,1,Workshops,0,2.059463792
,43,Male,Bachelor's,21,Manager,Finance,Teacher,Low,City_B,1,Workshops,0,11.54823348
,51,Male,Master's,15,Consultant,Finance,Financial Analyst,Low,City_A,1,Workshops,1,6.670469819
,59,Male,Ph.D.,17,Manager,Healthcare,Financial Analyst,Medium,City_A,1,Workshops,1,23.4732484
,59,Female,High School,22,Manager,Education,Software Developer,High,City_C,1,Online Courses,1,27.89403722
,29,Male,Bachelor's,6,Engineer,Healthcare,Nurse,High,City_B,1,Certifications,0,5.031478102
,48,Male,Ph.D.,3,Consultant,Finance,Software Developer,Medium,City_A,1,Online Courses,0,22.0003618
,48,Female,Bachelor's,13,Manager,Finance,Nurse,Medium,City_A,1,Workshops,1,2.69452314
,55,Male,Ph.D.,16,Consultant,Healthcare,Teacher,Low,City_A,1,Certifications,0,1.599147526
,42,Male,Ph.D.,8,Engineer,Healthcare,Teacher,Low,City_B,1,Online Courses,1,2.698658611
,51,Female,Master's,15,Consultant,Education,Teacher,Low,City_B,1,Certifications,0,4.694796338
,54,Female,Bachelor's,17,Manager,Healthcare,Nurse,Low,City_C,1,Workshops,1,2.063771295
,49,Female,High School,17,Consultant,Education,Nurse,Low,City_A,1,Certifications,1,17.07991139
,54,Female,Master's,22,Manager,Finance,Nurse,Low,City_A,1,Certifications,1,5.012396039
,26,Female,Master's,26,Manager,IT,Teacher,Medium,City_C,1,Workshops,0,22.30811355
,40,Female,High School,13,Manager,IT,Nurse,Medium,City_A,1,Certifications,0,5.208923118
,25,Female,Master's,17,Engineer,IT,Financial Analyst,Medium,City_C,1,Online Courses,1,4.86254825
,56,Male,Ph.D.,6,Consultant,IT,Software Developer,High,City_C,1,Certifications,1,6.800302234
,38,Female,Ph.D.,17,Engineer,Finance,Teacher,High,City_A,1,Online Courses,1,9.43470594
